kusasa,tomorrow
"ulimi, ululimi",tongue
futhi,too
ilizinyo,tooth
"ufudu, ulufudu",tortoise
ulwazi lwesihambi,tourist information
uphondo lwendlu,tower
idolobha,town
ilisiko,tradition
isitmela,train
isiteshi,train station
ukuthumela,transmit
uhambo,travel
impatho,treatment
inkinga,trouble
ibhulukwe,trousers
iliqiniso,truth
ukuzama,try
"isiTsonga, umTsonga",tsonga
isiTsonga,tsonga language
uLwesibili,Tuesday
ikalkuni,turkey
jika,turn
ukuvala,turn off
umabonwakude,TV set
ishumi nambili,twelve
amashumi amabili,twenty
amashumi amabili nanye,twenty one
kabili,twice
isibili,two
iakhawunti,ukuethemba)
ekugcineni,ultimately
eMlazi,Umlazi
umalume,uncle
phansi kwa-,under
ukuqonda,understand
ngeshwa,unfortunately
-dwa,unique
iliyunivesithi,university
inkosazana,unmarried woman
phezulu,up
phezu kwa-,upon
thina,us
ukusebenzisa,use
isigodi,valley
-bizayo,valuable
uhlaza,vegetable
ukuthengisa,vend
isiVenda,Venda
isiVenda,venda language
isikebhe,vessel
ukubukela,view
amandla,vigour
umuzi,village
imizi,villages
ukuvakashela,visit
ukuvota,vote
eFilidi,Vryheid
ukulinda,wait
ukulinda,wait for
uWeta,waiter
ukuvula,wake
ukuvuka,wake up
ukufuna,want
ngifuna,want: I ~
ufuna,want: you ~
"igaranti, iligaranti",warrant
ukugeza,wash
iwashi,watch
amawashi,watches
amanzi,water
"ilisiko, indlela, isiko, umgwaqo",way
"si-, thina",we
ilizulu,weather
uLwesithathu,Wednesday
iviki,week
wamukelekile,welcome: you are ~
kahle,well
intombazane,wench
-ni,what
yini ndaba,what for
yini,what is
Yini le?,What is this?
inhloboni,what kind of
inhloboni,what sort of
yisikhathi sini?,What time is it?
ungubani igama lakho?,What's your name?
ilisondo,wheel
ibhala,wheelbarrow
nini,when
"-phi, kuphi",where
uyaphi?,Where are you going?
uhlalaphi?,Where do you live?
ikuphi..?,Where is..?
yini ndaba,wherefor
likuphi itholethe?,Where's the bathroom?
"-phi, ubani",which
esiya,which goes
isikhanthi,while
uwiski,whiskey
uwiski,whisky
